candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000463_30d6516d,centered-gaussian,5,5,0.2,1605.2,49,35.6,4724.8,3107.4486,11066.4,1162,896.8,31052.8,0.2,275.34,14.8,582.2,120125.6,2017,1334.2,356813.6,197,0,3.8,0.6477,26855.8,236187.3229,19791.895,-1518.1243,1605.2
centered_candidate_000346_6f9a13cd,centered-gaussian,5,5,0.2,1605,62,36.8,4716.4,3099.5516,11144,1302,851.8,31297.2,0.2,272.9,14.6,588.8,85483.2,2297,1321,252904,180,0,3.6,0.5462,24543,167075.374,19974.0383,-1512.9758,1605
centered_candidate_000216_59950a0b,centered-gaussian,5,5,0.2,1604.8,90,80.6,4638.8,3022.6379,11414.6,1642,1614.8,30919.6,0.2,295.44,15.8,601.4,82821.8,3667,3053.4,241726.2,202.6,0,3.6,0.5432,25090,158607.2257,19394.2353,-1430.7189,1604.8
centered_candidate_000163_05dfad3e,centered-gaussian,5,5,0.2,1600.8,1705,64.2,3087,1346.0556,12250.8,13766,1260.4,22461,0.2,312.9,21.4,636.8,35750.2,31212,2064.8,71729.8,280.8,0,4.8,0.5711,33226.2,31039.0521,9435.5285,-608.8278,1600.8
centered_candidate_000019_d0911b05,centered-gaussian,5,5,0.2,1596.2,87,56,4643.2,3030.0019,11273,1668,1247.2,30930.6,0.2,288.52,15.4,594.4,131287.8,3571,1946.4,388593.8,200,0,3.4,0.5931,24116,256953.6905,19497.7141,-1459.0009,1596.2
centered_candidate_000146_509bdbf9,centered-gaussian,5,5,0.2,1594.2,97,35.2,4657.4,3043.5903,11222.8,1922,801.8,31096.6,0.2,282.86,15.2,592.6,89766.2,3271,1346.8,264864,198,0,3.6,0.5762,25258,174437.4075,19568.5193,-1486.5952,1594.2
centered_candidate_000029_b5760a12,centered-gaussian,5,5,0.2,1591.6,58,24.2,4693.6,3089.2697,10951.2,1300,650,30933.6,0.2,267.52,14.4,578.6,108070.8,2344,986.2,320983,198.4,0,2.6,0.7463,21157.2,212519.3368,19778.8111,-1520.4349,1591.6
search_candidate_000445_d3bdb10d,random-phased,5,5,0.2,1590.4,61,45,4638,3004.3466,11211.2,1347,1017.4,31014.8,0.2,303.08,15.2,587.4,60129.4,2209,1657,175676.8,184.6,0,3,0.5829,21806.4,114130.557,19352.3145,-1457.1733,1590.4
centered_candidate_000042_8a8ddec8,centered-gaussian,5,5,0.2,1578.4,66,46.4,4619.6,3029.8471,10750,1330,1085,29763.6,0.2,236.76,14.6,569.4,103551.8,2719,2083.6,305775.8,220.8,0,4.2,0.5572,28829.6,201962.1645,18864.5647,-1468.5235,1578.4
centered_candidate_000221_34a5eb78,centered-gaussian,5,5,0.2,1530.8,283,90.4,3748.8,1755.9371,11318,3306,1668.2,25913.2,0.2,295.9,19.6,581.4,51494.6,7619,3430.6,131254.8,260.6,0,5.2,0.5026,34857,64993.1595,11555.0813,-787.5685,1530.8
centered_candidate_000397_875522fa,centered-gaussian,5,5,0.2,1520.4,244,116.2,3679.2,1708.2942,11491.6,3200,2064.6,25747,0.2,303.66,19.6,596.2,40031.2,7984,4147.6,94735.2,264,0,4,0.5995,29280.2,43316.3127,11295.2764,-737.9471,1520.4
centered_candidate_000448_584d5930,centered-gaussian,5,5,0.2,1429.6,106,66.8,3563,1688.5329,10745.6,1836,1332.2,25226.2,0.2,271.74,18.2,559.2,40076.4,3343,2297.8,101387,249.8,0,4.4,0.5878,31032.6,48685.0532,11486.3272,-777.4665,1429.6
centered_candidate_000001_5488b168,centered-gaussian,5,5,0.2,1418,88,40.2,3724.4,1864.9231,10421.6,1744,893.2,25829.8,0.2,264.88,17.2,541.4,46049.2,3841,1430.2,124701.6,245,0,3.8,0.7464,28655,67567.8641,12336.9829,-892.2615,1418
centered_candidate_000202_555d505b,centered-gaussian,5,5,0.2,1398.8,92,83.6,3693.8,1911.6673,10534.2,1791,1595,25792.6,0.2,278.38,17.6,549.2,41889.2,3549,3152.8,112511,256.2,0,4.6,0.5205,31830.6,62147.1152,12512.9722,-872.2336,1398.8
centered_candidate_000422_b25598c8,centered-gaussian,5,5,0.2,1396,90,49.2,3531.6,1688.5032,10482.8,1791,1126.2,24947.2,0.2,269.74,17.6,546.2,37048,3639,1975,95354,250.8,0,4.4,0.611,30758,47100.8476,11442.1906,-795.0516,1396
centered_candidate_000315_a74cee45,centered-gaussian,5,5,0.2,1389.4,523,41.6,3624,2052.3906,10037.8,4825,960.8,24536.2,0.2,257.46,17.6,512.4,48346.4,11156,1413.2,133069.6,255.2,0,3.8,0.7759,28806,81130.1817,13166.2383,-984.5953,1389.4
centered_candidate_000414_0f47bd8e,centered-gaussian,5,5,0.2,1389.2,518,230.4,3139,1421.1299,10781.8,4856,2735.2,22566.8,0.2,315.7,20,549,34598.6,11312,5969.8,80687,268,0,5,0.4984,34034.4,38538.8658,9489.478,-480.1649,1389.2
centered_candidate_000172_83f17836,centered-gaussian,5,5,0.2,1331.4,410,125.6,3212.6,1539.4092,10215.8,4227,1834.8,22816.2,0.2,310.96,18.8,517.8,35493.4,9763,4062.8,87206.4,262.6,0,5.8,0.4937,36808.8,43722.5641,10211.2631,-644.1046,1331.4
