candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000158_000dc4f3,centered-gaussian,240,240,990.35,960,562.9,1505,0.7292,114.6296,3.1333,44.2083,75.6167,0.1,1.3708,0.4676,10680.9833,366.7142,379.5429,-8104.4895
centered_candidate_000061_c75a4486,centered-gaussian,240,240,1027.6417,1024,579.4,1512.7,0.875,117.789,3.2333,44.9333,68.2917,0.0542,1.6,0.3713,10912.3917,357.3693,400.7154,-8105.7039
search_candidate_000002_82f9f676,random-phased,240,240,1016.3042,1010,575.1,1498.1,0.8958,118.419,3.1875,44.3208,68.6042,0.05,1.6625,0.3488,10916.9708,341.8862,404.1569,-8108.1306
search_candidate_000085_fe523b81,random-phased,240,240,907.7458,914,538,1307.2,0.7125,114.6092,2.8417,40.0875,77.5417,0.1458,1.3542,0.468,10571.0083,308.3923,383.8038,-8125.041
centered_candidate_000138_6355e6ce,centered-gaussian,240,240,1009.7667,994.5,590.9,1469.4,0.8917,118.2429,3.1625,44.0292,68.8083,0.0833,1.5958,0.3694,10967.7167,339.7155,421.0423,-8164.2564
search_candidate_000024_a28d7e1f,random-phased,240,240,1029.975,998,598.2,1533,0.9042,118.3467,3.2375,44.9708,69.225,0.0917,1.6625,0.3506,11006.2,350.6862,422.8569,-8164.6356
centered_candidate_000060_4db1c241,centered-gaussian,240,240,1022.6042,964.5,587.9,1544.6,0.7583,114.6235,3.1917,45.85,72.3458,0.125,1.4542,0.4278,10825.4208,377.3799,399.2101,-8167.3893
centered_candidate_000046_03240f8b,centered-gaussian,240,240,1010.375,978,604.7,1482.2,0.8667,118.7619,3.1833,44.0542,69.9792,0.0583,1.625,0.3645,11000.0167,338.7693,435.3154,-8217.9689
centered_candidate_000188_7fe22856,centered-gaussian,240,240,972.0292,955,565.6,1400.5,0.7833,114.9688,2.9917,43.4083,72.6375,0.1042,1.4417,0.447,10837.3417,339.5854,395.8073,-8219.9162
centered_candidate_000136_40f98a9b,centered-gaussian,240,240,1014.1375,968,609.8,1478.2,0.875,118.0438,3.1875,44.3708,69.9333,0.075,1.6167,0.3739,11059.2125,339.8952,439.8524,-8266.214
centered_candidate_000024_c52ffb9f,centered-gaussian,240,240,1000.7583,979.5,574.8,1534.5,0.7583,115.1227,3.1667,44.2958,74.4917,0.125,1.5042,0.4181,10927.7333,360.8436,394.3782,-8291.2204
centered_candidate_000155_26f35189,centered-gaussian,240,240,964.4708,951.5,576.8,1370.1,0.7375,114.6875,2.9542,43.1792,72.3875,0.15,1.4958,0.4125,10872.775,330.403,411.5985,-8299.6948
centered_candidate_000186_cad08f4c,centered-gaussian,240,240,1027.0625,1018.5,599.2,1508,0.9083,118.7304,3.2125,44.8458,68.375,0.0333,1.6583,0.3645,11167.2167,341.1446,428.6277,-8311.4398
centered_candidate_000014_c4088b2d,centered-gaussian,240,240,1020.2417,1003.5,569.9,1515.2,0.8667,118.4129,3.2083,44.3625,67.325,0.0458,1.6542,0.3552,11100.3125,344.43,397.685,-8324.6202
centered_candidate_000063_ffe47d40,centered-gaussian,240,240,970.3292,921,543.4,1489,0.6667,112.3588,3.075,43.5833,79.2292,0.1167,1.3375,0.4959,10782.7917,378.2889,354.2556,-8326.2336
centered_candidate_000172_488eaf32,centered-gaussian,240,240,985.9667,957,568.9,1463.8,0.7208,114.881,3.0667,44.2583,77.875,0.1333,1.3667,0.491,10903.175,357.3544,390.2228,-8334.2259
centered_candidate_000138_2f29df50,centered-gaussian,240,240,1035.0583,993,567,1554.4,0.8375,117.3715,3.2833,45.3458,71.8042,0.0792,1.6208,0.3821,11103.3583,370.329,381.8355,-8354.7658
centered_candidate_000099_07b0cdb5,centered-gaussian,240,240,1005.7208,982,599.4,1478.8,0.7917,116.1169,3.0833,44.9375,72.3792,0.1083,1.5875,0.3904,11089.8833,345.952,426.424,-8391.1662
centered_candidate_000107_0c9c0b42,centered-gaussian,240,240,969.0417,932.5,570.8,1410.8,0.7,114.3808,3.0417,43.1375,74.2583,0.1292,1.4458,0.4434,10915.1292,345.0139,398.293,-8392.2003
centered_candidate_000179_93bc7c52,centered-gaussian,240,240,1029.1667,983,549.7,1591.6,0.7917,115.6583,3.2917,45.6083,74.0333,0.0917,1.575,0.4041,11067.7208,385.6013,356.8994,-8392.7478
centered_candidate_000112_0c30c09c,centered-gaussian,240,240,1000.7583,963.5,571.9,1495.6,0.7125,114.5787,3.1375,44.8292,78.0833,0.1125,1.4208,0.4782,11031.5,370.8431,386.4784,-8453.1403
search_candidate_000102_71b579c4,random-phased,240,240,1038.4,1016,568.9,1568.1,0.7875,114.7485,3.3917,45.5667,74.575,0.0708,1.6083,0.4052,11205.3458,394.5679,371.616,-8495.2394
search_candidate_000006_63307db0,random-phased,240,240,1066.4917,1023.5,625.7,1580,0.825,116.2879,3.3708,47.4708,71.9417,0.1083,1.6292,0.3865,11331.6375,385.8867,432.7566,-8505.0132
centered_candidate_000102_047a2fe1,centered-gaussian,240,240,962.6875,923,549.2,1453.4,0.65,113.141,3.0917,42.8583,79.675,0.1333,1.3583,0.5071,10946.3292,365.5542,366.4229,-8505.8925
search_candidate_000188_4e5c5033,random-phased,240,240,1035.2208,983.5,618.3,1576,0.6833,113.5973,3.2542,46.5,77.0125,0.125,1.45,0.4741,11231.6875,386.0819,425.2591,-8603.9597
search_candidate_000066_7774e14a,random-phased,240,240,1058.3292,997.5,560,1625.1,0.725,114.1673,3.4125,47.2125,76.7458,0.1292,1.4542,0.4737,11265.4625,415.1593,352.4203,-8618.4152
centered_candidate_000063_bf048053,centered-gaussian,240,240,998.2458,979,568.3,1489.3,0.8292,117.3415,3.1375,43.7333,71.5,0.0458,1.65,0.3846,11332.7833,348.1754,394.2123,-8630.8659
centered_candidate_000189_e15d74ad,centered-gaussian,240,240,978.0958,920,557.5,1488,0.6875,114.5542,3.0583,43.8042,77.6625,0.1333,1.4333,0.476,11171.325,360.4342,377.2829,-8671.816
centered_candidate_000132_327cb5e2,centered-gaussian,240,240,1013.4208,983,587.8,1482.4,0.8875,118.3308,3.2125,44.0375,70.7958,0.0458,1.6917,0.3724,11491.0875,347.8773,413.8613,-8698.0021
centered_candidate_000022_9347b605,centered-gaussian,240,240,1010.6292,994.5,571.1,1514.2,0.8167,116.7496,3.2042,44.5167,71.9125,0.0583,1.6458,0.3905,11417.55,352.1995,395.0003,-8706.5641
centered_candidate_000156_eb2e774f,centered-gaussian,240,240,994.1167,961.5,561.8,1518.8,0.6958,113.7773,3.1167,44.7625,78.3667,0.1,1.4333,0.4928,11267.2708,370.649,376.4755,-8721.2606
centered_candidate_000017_402f8012,centered-gaussian,240,240,1006.925,964,577.6,1560.3,0.6542,112.8277,3.2,45.6167,81.525,0.1167,1.4125,0.5033,11259.7,385.3983,384.9009,-8731.608
centered_candidate_000076_57d256ba,centered-gaussian,240,240,1008.8625,991.5,554.6,1523.3,0.8583,116.7646,3.1917,44.2083,70.1333,0.075,1.7,0.3685,11489.2083,353.9434,377.6283,-8753.3712
centered_candidate_000151_85072d91,centered-gaussian,240,240,1017.1208,1008.5,617.9,1466,0.875,118.726,3.2125,44.375,71.3792,0.0542,1.6833,0.3796,11589.4292,339.6736,448.0632,-8766.673
search_candidate_000191_c36d7910,random-phased,240,240,969.75,926.5,570.9,1491.5,0.6417,112.4502,3.075,43.4792,79.0875,0.1125,1.4167,0.5008,11241.8667,358.3735,391.7132,-8782.1547
centered_candidate_000185_fbec2509,centered-gaussian,240,240,963.0833,896,557.9,1560.7,0.6042,112.3192,3.15,43.4333,85.4375,0.1292,1.325,0.5541,11197.075,368.7904,373.5048,-8809.2631
centered_candidate_000115_32c740f1,centered-gaussian,240,240,1022.0375,996.5,589.8,1517.2,0.8875,118.4529,3.1875,44.8458,70.8208,0.0375,1.7083,0.3767,11631.85,348.7485,415.4258,-8821.9722
centered_candidate_000064_359cc5d8,centered-gaussian,240,240,987.1083,968.5,555.9,1469.1,0.6958,113.1177,3.1042,44.6208,79.2375,0.0875,1.4333,0.5073,11382.4708,361.5811,375.1095,-8842.8754
search_candidate_000220_e55f36c5,random-phased,240,240,999.1958,915,551.6,1567.6,0.6208,112.2371,3.2583,45.1125,83.8958,0.125,1.3958,0.5184,11306.325,407.7143,347.7428,-8869.0587
centered_candidate_000055_191f444b,centered-gaussian,240,240,1006.9542,995.5,572,1476.2,0.8458,117.9523,3.1875,44.1458,71.7917,0.0458,1.6833,0.3829,11630.6458,348.6681,397.666,-8892.2419
search_candidate_000088_cf0387a7,random-phased,240,240,1020.3667,978,589.7,1594.5,0.725,113.036,3.2417,46,78.3875,0.0875,1.4958,0.4853,11553.3875,379.137,400.1315,-8923.0882
centered_candidate_000103_587e9797,centered-gaussian,240,240,929.3375,884.5,524.6,1383.4,0.5625,111.0452,3.0292,41.6083,85.8625,0.1458,1.2833,0.5761,11240.6,344.4538,352.3731,-8955.7233
