candidateId,strategyVariantId,runs,scenarioCount,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000085_1deeebae,centered-gaussian,90,90,43.0556,30.5,9,91.3,35.6496,966.7889,781,402,2055.5,0.3889,98.1872,3.2667,45.9222,1375.7778,1088.5,451,3034.7,95.3778,0.0556,1.8111,0.5661,14564.5333,921.8388,604.9704,-8.8248,43.0556
centered_candidate_000109_ab5466bd,centered-gaussian,90,90,43.0556,30,12.9,91.5,33.5991,995.9444,789,474.4,1874.7,0.4889,103.595,3.3,45.7556,1429.2889,1066,609.2,2962.2,87,0.1333,1.7222,0.4993,13419.9556,858.5857,547.3582,-3.8995,43.0556
centered_candidate_000012_5c4a2cd5,centered-gaussian,90,90,43.0222,30.5,10,96.3,36.6245,996.8556,790,420.4,2045.4,0.4889,102.5506,3.2556,46.4222,1429.1667,1108,535.7,3223.2,86.2778,0.1556,1.5889,0.5107,12779.9333,909.6676,609.9772,-8.3123,43.0222
centered_candidate_000045_59718d95,centered-gaussian,90,90,43.0222,31.5,11.9,92.1,35.328,986.1444,793.5,452.9,1912.2,0.4667,103.0572,3.2889,45.9333,1416.8667,1118,583.9,3040.2,90.6667,0.0889,1.7778,0.5199,13995.1444,843.0235,549.4745,-5.764,43.0222
centered_candidate_000046_9da4f276,centered-gaussian,90,90,43.0222,30,12,91.3,35.7659,971.9556,763.5,465.6,1952.3,0.4333,101.5222,3.2444,45.3333,1389.7667,1111,555.6,2970.2,90.7222,0.0889,1.8111,0.5101,14113.3333,860.4064,567.3182,-5.8829,43.0222
centered_candidate_000092_962912a5,centered-gaussian,90,90,43.0222,32,10.9,89.1,34.854,971.5444,781.5,428.2,2024,0.4111,100.9583,3.2444,45.4667,1399.1556,1123.5,518.4,3008.7,90.1778,0.1556,1.7222,0.5301,13841.9556,874.8335,562.4255,-6.527,43.0222
centered_candidate_000134_64b4b0d1,centered-gaussian,90,90,43,30.5,10.9,99.8,36.4042,986.1111,772.5,451.7,2039.4,0.4444,101.8656,3.3,45.9444,1417.5667,1082.5,544.7,2948.3,91.0556,0.1111,1.7222,0.5195,13745.7222,883.1637,572.1668,-7.3021,43
centered_candidate_000030_9d81dc5a,centered-gaussian,90,90,42.9889,30.5,10,102.2,35.8876,990.5667,766.5,429.4,1937.9,0.4889,103.5317,3.2778,45.7556,1419.2111,1112.5,579.5,2929.2,87.6444,0.1333,1.7111,0.5087,13496.6111,851.1631,575.7887,-7.9438,42.9889
centered_candidate_000156_1a077d10,centered-gaussian,90,90,42.9889,33.5,9,97.3,35.0443,977.0333,787,396.4,1897.6,0.4333,101.8578,3.2778,45.3444,1409.3,1064.5,506.9,3109,89,0.1444,1.7,0.5334,13591.0778,885.7592,581.0027,-8.5221,42.9889
centered_candidate_000133_dbe628f0,centered-gaussian,90,90,42.9556,31,10,90.3,35.2811,979.3889,798,418.4,2030.3,0.4222,102.0811,3.2667,45.6778,1419.6667,1085,548.8,3142.3,91.0667,0.1222,1.8333,0.5143,14218.2778,889.5556,580.8936,-7.6405,42.9556
centered_candidate_000008_f1989c62,centered-gaussian,90,90,42.9444,32.5,10,92.1,35.4402,970.2889,777.5,435.9,1948.5,0.4111,100.3239,3.2667,45.4889,1379.8889,1103,546,3051.3,95.1222,0.0778,1.7889,0.5637,14413.8,874.5095,581.6333,-7.7201,42.9444
centered_candidate_000016_7892e9c4,centered-gaussian,90,90,42.9333,29,10.9,92.1,35.7963,994.9111,783,430.6,1970.3,0.4333,101.6839,3.3444,46.0667,1416.7778,1113.5,519,3161.9,91.7444,0.0889,1.7111,0.5466,13917.7667,897.8462,592.4626,-6.9981,42.9333
centered_candidate_000062_7b6e1f2b,centered-gaussian,90,90,42.9111,31.5,10,102.3,34.2606,983.8667,770,434.3,1852.2,0.4111,101.5178,3.2889,45.8111,1414.2556,1074.5,545.4,3057.7,93.8444,0.0889,1.8111,0.529,14369.0222,874.597,579.4727,-7.1303,42.9111
centered_candidate_000130_1b79a49a,centered-gaussian,90,90,42.9111,31.5,10,85.2,34.9182,989.1111,778.5,447.1,1967.4,0.4556,103.205,3.2778,45.7,1432.4333,1098,578.5,3188.8,89.5444,0.1444,1.6889,0.5248,13522.6667,875.0252,568.948,-7.4591,42.9111
centered_candidate_000114_00d63be5,centered-gaussian,90,90,42.8889,30,11.9,86.4,35.1089,984.7556,796.5,427.2,1963.7,0.4333,102.7156,3.2778,45.7222,1434.2222,1140,560.4,3034.6,89.6778,0.1444,1.6889,0.5165,13485.9444,892.2063,565.1349,-5.6544,42.8889
centered_candidate_000108_330cc9ba,centered-gaussian,90,90,42.8778,30,9,94.4,35.7829,972.2,790.5,414.3,1980.9,0.4222,100.4411,3.2889,45.3667,1400.8444,1102,466.7,3040.7,90.9222,0.1111,1.6444,0.5413,13355.4556,916.3802,599.6145,-8.8915,42.8778
general_top10-median-phased_18761d80,top10-median-phased,90,90,42.8778,31,10,95.4,35.9354,979.7667,778,404.8,1983.2,0.4667,100.92,3.2778,45.7667,1390,1065.5,445.7,3083.9,90.6444,0.1333,1.6667,0.5219,13483.0667,900.5974,610.7112,-7.9677,42.8778
